accessanalyzer,apply_archive_rule,analyzer_arn rule_name
accessanalyzer,cancel_policy_generation,job_id
accessanalyzer,check_access_not_granted,policy_document access policy_type
accessanalyzer,check_no_new_access,new_policy_document existing_policy_document policy_type
accessanalyzer,create_access_preview,analyzer_arn configurations
accessanalyzer,create_analyzer,analyzer_name r#type
accessanalyzer,create_archive_rule,analyzer_name rule_name filter
accessanalyzer,delete_analyzer,analyzer_name
accessanalyzer,delete_archive_rule,analyzer_name rule_name
accessanalyzer,get_access_preview,access_preview_id analyzer_arn
accessanalyzer,get_analyzed_resource,analyzer_arn resource_arn
accessanalyzer,get_analyzer,analyzer_name
accessanalyzer,get_archive_rule,analyzer_name rule_name
accessanalyzer,get_finding,analyzer_arn id
accessanalyzer,get_finding_v2,analyzer_arn id
accessanalyzer,get_generated_policy,job_id
accessanalyzer,list_access_preview_findings,access_preview_id analyzer_arn
accessanalyzer,list_access_previews,analyzer_arn
accessanalyzer,list_analyzed_resources,analyzer_arn
accessanalyzer,list_archive_rules,analyzer_name
